species,sample,bases,mean,breadth
HCU,Cur4VT,39342985987,18.45,81.8479
HCU,R36639,36821644706,17.25,82.9343
HCU,Cur3VT,31400699727,14.73,81.6323
HCU,Cur2VT,30194949107,14.17,81.3818
HCU,Cur1VT,29788993894,14.01,81.069
HCU,Cur7VT,27732584561,13.01,81.453
HEL,KLS1121,116792165772,54.77,83.2303
HEL,KLS1034,49239238355,23.12,82.1405
HEL,KLS1024,37328179142,17.55,81.394
HEL,KLS1027,35074789463,16.48,81.3776
HEL,KLS1025,34424863852,16.17,81.4548
HMA,KLS0629,35863436232,16.86,85.0542
HMA,KLS0630,32815045320,15.43,85.164
HMA,KLS0631,31455004220,14.78,83.8636
HMA,KLS1020,26732099730,12.51,86.1415
HMA,KLS0647,25396666654,11.96,84.2871
MGR,ss_UAE_835,80185215175,37.4,82.8964
